,ID,jamfaktor,tedadfaktor,jamMarjoee,TedadMarjoee,jamNaghd,TedadNaghd,jamcheck,Tedadcheck,tedadBargashti,JamBargashti,TedadBargashtiHazer,RialBashtiHazer,jamBedehi,TedadBedehi,Malek,Metrajh,EtebarRial,EtebarTedady,EtebarRialiNaghdi,Khas,sNoePardakht,akharinFaktor,AvalinFaktor,AkharinMarjoee,AvalinMarjoee
5678,35576,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5679,35577,3004500.0,9,657000.0,4,2347000,8,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1881,1907,1882,1900
5680,35578,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5681,35579,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5682,35580,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5683,35581,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5684,35582,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5685,35583,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5686,35584,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5687,35585,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5688,35586,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5689,35587,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5690,35588,1298500.0,3,883000.0,3,415000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1884,1898,1882,1896
5691,35589,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5692,35590,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5693,35591,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5694,35592,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5695,35593,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5696,35594,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5697,35595,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5698,35596,24579190.0,11,9196840.0,7,11000000,6,1960000,1,0,0,0,,2105820.0,1,0,0,0,0,0,0,0,1872,1906,1870,1897
5699,35597,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5700,35598,2657500.0,5,298000.0,4,2359000,6,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1882,1899,1883,1897
5701,35599,746500.0,2,0.0,0,746000,2,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1885,1903,0,0
5702,35600,2875000.0,4,0.0,0,2875000,4,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1885,1904,0,0
5703,35601,1382800.0,1,0.0,0,1382000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1904,1904,0,0
5704,35602,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5705,35603,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5706,35604,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5707,35605,1142700.0,2,0.0,0,1142000,2,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1883,1897,0,0
5708,35606,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5709,35607,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5710,35608,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5711,35609,2545600.0,2,0.0,0,2545000,2,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1885,1892,0,0
5712,35610,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5713,35611,477000.0,1,130000.0,1,347000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1889,1889,1886,1886
5714,35612,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5715,35613,205000.0,1,205000.0,1,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1896,1896,1892,1892
5716,35614,2159500.0,6,330000.0,1,1419000,5,0,0,0,0,0,,410000.0,1,0,0,0,0,0,0,0,1871,1903,1900,1900
5717,35615,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5718,35616,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5719,35617,802500.0,3,0.0,0,802000,3,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1882,1899,0,0
5720,35618,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5721,35619,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5722,35620,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5723,35621,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5724,35622,1110000.0,2,0.0,0,1110000,2,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1881,1907,0,0
5725,35623,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5726,35624,270000.0,1,0.0,0,270000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1895,1895,0,0
5727,35625,10957120.0,7,954280.0,6,10000000,6,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1873,1904,1871,1902
5728,35626,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5729,35627,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5730,35628,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5731,35629,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5732,35630,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5733,35631,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5734,35632,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5735,35633,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5736,35634,6050980.0,4,387500.0,3,5599000,4,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1883,1905,1881,1882
